G2,G3,Index,M2,mb,mc,Order,s0,ThetaDeg,Threshold
0.46105856899861136,0.31044596651363904,36.,8.775393776917614,4.199680369644866,1.2898104662014207,pert,53.35482919236752,43.15740817266384,30.13450963684036
0.43709275624158356,0.43350073753130963,37.,8.87152518700432,4.190160062516263,1.2784691722199215,pert,53.69975546285589,43.316747520067686,29.905905707011264
0.5853648300710753,0.5395533825216303,38.,7.870801348673444,4.157601771457162,1.2748750199838594,pert,53.46288563323874,43.20040153269073,29.511804089545336
0.6309103192353163,0.579274171065327,39.,8.332210851731656,4.201395777930017,1.2821812273449857,pert,53.02786578081792,43.103962394702286,30.06961677278077
0.31921544078830477,0.3963062112657035,40.,7.626656891794706,4.205386625435943,1.2824853120321489,pert,54.45413815286078,43.14105204229078,30.116738402049787
0.5144521918888625,0.45363266913395467,41.,7.206886775519498,4.17407251072866,1.2610331933681707,pert,53.9588037476499,43.19323935774524,29.540374014705904
0.45328560690142417,0.396537300344288,42.,7.89526566352607,4.1906596178580795,1.2700509655439636,pert,54.241942664194305,43.281145976890436,29.81936007567908
0.4842537490771385,0.732673463996135,43.,7.032894714954266,4.170323233176512,1.288524151073864,pert,54.452072473904664,43.01055945328867,29.799014764537173
0.5987281718301206,0.5171376590769633,44.,8.092450237987535,4.156162754380741,1.2543405314725153,pert,54.999254186452006,43.5725389081088,29.27354580622888
0.5258357520660608,0.7567891035437392,45.,8.655687152283557,4.155849776845392,1.256520693879357,pert,54.562344539645984,43.612440779297245,29.293754112373243
0.5438946226404692,0.7686013758868575,46.,8.39870314326174,4.179497886752376,1.2691697423582116,pert,53.9999597530738,43.36713224932991,29.687978932517595
0.4231239523606964,0.7455045913885849,47.,8.141912915460857,4.168758973746188,1.2622622027750015,pert,54.821340263070944,43.485147625697024,29.49599101982161
0.4032659638289502,0.6552163633704191,48.,8.084570258869505,4.162421646379547,1.257668745781348,pert,54.65929285489598,43.49860374400437,29.377379859194853
0.49170732815900786,0.6864433523284517,49.,7.24000127659696,4.151324809600864,1.274609071746087,pert,53.03174430849446,43.034181962227244,29.440758484748795
0.38390116714332256,0.486781041088105,50.,7.948034163073805,4.18029224166403,1.268328309524718,pert,54.106463548650375,43.30373890976816,29.687465910836377
